email_body,response,company_name,job_description,email_intention
"Hi Johan Sebastian,
Thank you for applying for the position of Business Analyst with ED - Group Support Functions , we really appreciate the time and effort you took to submit the application, as well as your interest in Woolworths Group.
We received a lot of interest in the role, and unfortunately your application hasn’t made it through to the next stage. This is because other applicants were more closely aligned with the particular role requirements.
While you may not have been successful for this particular role, there are always new opportunities coming up across all our brands. We encourage you to continue exploring and applying for roles with Woolworths Group. You can keep an eye out for new opportunities at www.wowcareers.com.au or follow us on Linkedin to stay connected.
Thank you again for your interest and we hope to hear from you again soon.
Kind regards,
Talent Acquisition
Woolworths Group
","
company_name: woolworths group
job_description: business analyst
email_intention_description: rejection",woolworths group,business analyst,rejection
"Dear Johan Sebastian, 

Your application for the position IT Graduate has been reviewed by a member of our Talent Acquisition team against our selection criteria and we regret to advise that we will not be taking your application further. 

We encourage you to keep your profile up to date so we can contact you if a suitable vacancy arises. You can also sign up for job alerts via our careers page and follow us on LinkedIn. 

Thank you for your interest in working at Challenger, and we wish you all the best in your job search. 

Regards, 

Talent Acquisition
Challenger Limited
Level 2, 5 Martin Place, Sydney 2000, NSW
Tel: +612 9994 7000
Email: careers@challenger.com.au
Web: www.challenger.com.au/about-us/careers 
","
company_name: challenger limited
job_description: it graduate
email_intention_description: rejection",challenger limited,it graduate,rejection
"Dear Johan

Thank you for your recent application for Java Developer (reference: BBBH5601). 
After reviewing your application I feel, on this occasion, you do not meet the requirements for the role.
Thank you again for your application and good luck in your job search.
Many thanks
Harry Strudley
","
company_name: none
job_description: java developer
email_intention_description: rejection",none,java developer,rejection
"Hi Johan
Thank you for your application for the above position. We appreciate the time and effort you have taken to apply for this opportunity through Emmbr.
Your application is being considered and you will hear from us as soon as we have reviewed all responses.
Many thanks
Harry Strudley
","
company_name: Emmbr
job_description: above position
email_intention_description: Further_Action",Emmbr,above position,Further_Action
"Thank you for applying to the Junior Software Developer position at MSC Technology.
Unfortunately, MSC Technology has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: msc technology
job_description: junior software developer
email_intention_description: rejection",msc technology,junior software developer,rejection
"Thank you for your interest in the Train To Hire - Junior Software Developer position at Mindlance in Chicago, Illinois, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Mindlance.
","
company_name: mindlance
job_description: train to hire - junior software developer
email_intention_description: rejection",mindlance,train to hire - junior software developer,rejection
"eth, 

Thank you for your interest in Exyn and for applying to be apart of our team as a Software Engineer, Product. We appreciate the opportunity to learn more about you and your professional accomplishments.

We were fortunate to have received so many terrific applications.  Although we were impressed with your background, we have decided to move forward with candidates whose skills and experiences are better aligned with that which we're seeking for this particular role.

As Exyn continues to grow, weâ€™ll keep your information on file and look forward to reaching out to you when the right opportunity arises.

In the meantime, we wish you much success in your job search and career. 

Best wishes,

The People & Culture team at Exyn Technologies
","
company_name: exyn
job_description: software engineer, product
email_intention_description: rejection",exyn,"software engineer, product",rejection
"Thank you for your interest in the Software Engineer position at Lantana Consulting Group in Vermont, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Lantana Consulting Group.

Regards,

Lantana Consulting Group
","
company_name: Lantana Consulting Group
job_description: Software Engineer
email_intention_description: Rejection",Lantana Consulting Group,Software Engineer,Rejection
"Hi there,
Hope you are doing well,
 
We have an immediate opening with our client, let me know if you are comfortable with the below requirement. 
 
Role  :-         IOS DEVELOPER (W2 Consultant Only)
Location :-  Fully Remote
Long term Contract
 
Required :-
 

    5+ years of experience in iOS development using Swift and Objective C (some flex on YOE)
    React Native experience highly preferred but not required â€“ could be supplemented by more years of Swift/Obj C experience

 
 
Thanks & Regards,
","
company_name: none
job_description: IOS DEVELOPER (W2 Consultant Only), Location: Fully Remote, Long term Contract, Required: 5+ years of experience in iOS development using Swift and Objective C (some flex on YOE), React Native experience highly preferred but not required â€“ could be supplemented by more years of Swift/Obj C experience
email_intention_description: Offer_Position",none,"IOS DEVELOPER (W2 Consultant Only), Location: Fully Remote, Long term Contract, Required: 5+ years of experience in iOS development using Swift and Objective C (some flex on YOE), React Native experience highly preferred but not required â€“ could be supplemented by more years of Swift/Obj C experience",Offer_Position
"What's happening
We've enhanced our security requirements to better protect your accounts and personal information. As a result, you'll need to create a new, stronger password to access your accounts online.

You can disregard this email if you've changed your password within the last few days.

What you should know
We'll briefly interrupt your online banking experience in the near future to ask you to change your password. You can avoid this interruption and enhance your security by changing your password now.

What you need to do
Create a new password after you sign on. There are two ways to do this:

    On your computer, go to Security & Support in the main menu, then select Change Password.
    On your mobile device, go to Menu, tap your name or the profile icon, then tap Password.

What to do if you sign on with your fingerprint or face
This sign-on feature for the mobile app will be disabled after you change your password. You can set up this feature again after you sign on with your username and new password.

Questions?
We're here to help if you have any questions about changing your password. Please call us at 1-800-956-4442.

For your convenience, we've also sent this message to your alerts history in the Message Center.

Thank you for helping us keep your account information secure.

Wells Fargo Customer Service
","
company_name: Wells Fargo
job_description: none
email_intention_description: Further_Action",Wells Fargo,none,Further_Action
"I have emailed you the detailed job description. Please revert on email along with your details to submit your application.

Thanks & Regards
Anchala Jain
Talent Acquisition Group - North America
TATA CONSULTANCY SERVICES || www.tcs.com

","
company_name: tata consultancy services
job_description: detailed job description
email_intention_description: further_action",tata consultancy services,detailed job description,further_action
" Starting March 17, 2021, eBay will no longer offer sellers the option to change their invoiced currency to non-US currency on their eBay invoices. If you are currently receiving eBay invoices in a currency other than US dollars, you will continue to receive your invoices in your selected currency. Beginning March 17, you will only be able to change your non-US currency to US dollars. We are making this change to create a streamlined user experience for seller disbursements and charges when you join managed payments.

Most US sellers are already billed in US dollars. The change will affect a small percentage of sellers who currently use foreign currencies on their eBay invoices.

Thank you for selling on eBay,
Your Selling Team 
","
company_name: ebay
job_description: none
email_intention_description: not_related_to_job_application",ebay,none,not_related_to_job_application
"Hi Seth,

I want to make finding a great remote opportunity easier by sending you jobs that could match your skills and experience.

Hope this one offers you the flexibility you need to thrive: Mobile Engineer.

If this isnâ€™t the right opportunity for you, perhaps you know someone else that may be interested?

Either way, I hope I can still be a resource for you down the line. Wishing you all the best!

Thanks,
Sally
","
company_name: none
job_description: Mobile Engineer
email_intention_description: Further_Action",none,Mobile Engineer,Further_Action
"Hello Seth,

I just wanted to take a second to thank you for your business, and your recent purchase from my store. If you have any questions or if there is anything else I can help you with, please reach out to me without hesitation.

Thank you again.

Cheers,
Jay
J2Games
","
company_name: J2Games
job_description: none
email_intention_description: not_related_to_job_application",J2Games,none,not_related_to_job_application
"Your free YouMail plan includes 20 in-app transcriptions per month.
Upgrade to any premium plan to get more per month, and also see and search them online and in email alerts. 
","
company_name: YouMail
job_description: None
email_intention_description: Not related to job application",YouMail,None,Not related to job application
"Thank you for taking the time to apply to HubSpot. 

We have carefully reviewed your application for the Business Development Representative role, and at this time, we have decided not to move forward with your candidacy. 

Due to the volume of applications, we are unable to provide feedback at this stage but we encourage you to visit HubSpot’s Careers Blog for additional tips on applying to HubSpot. 

Although we couldn’t align on a role today, there could be a future opportunity at HubSpot that’d be perfect for you, so we will keep your information, just in case. 

Again, thank you for applying, and best of luck in your search, 

The HubSpot Recruiting Team
","
company_name: hubspot
job_description: business development representative
email_intention_description: rejection",hubspot,business development representative,rejection
"Thanks for your interest in the role at TRENDii. Does this time for a conversation on the role and your background?
","
company_name: trendii
job_description: conversation on the role and your background
email_intention_description: further_action",trendii,conversation on the role and your background,further_action
"Thank you for your interest in the Junior Data Insights Analyst role at the Foxtel Group

While we were impressed by your CV, we have unfortunately decided not to move forward with your application at this time. We received strong interest in this role from a range of candidates whose experience better matched the scope and requirements of this position. We’re sorry this isn’t better news.

We truly appreciate the time and effort you’ve taken to pursue this opportunity and while this may not be the next role for you, we’d like to invite you to connect with us on LinkedIn where you can follow the Foxtel Group for any future updates.

Best wishes,

Talent Acquisition Team
","
company_name: Foxtel Group
job_description: Junior Data Insights Analyst
email_intention_description: Rejection",Foxtel Group,Junior Data Insights Analyst,Rejection
"Hi Seth,

Thank you for your interest in PathAI! Unfortunately, the hiring team has decided not to move forward with your candidacy at this time. 

Please feel free to keep in touch and reach out again in the future. You can connect with us on LinkedIN, Twitter, and AngelList. 

We appreciate your time and consideration, and wish you the best of luck with your search.

Take care,

PathAI Hiring Team
","
company_name: pathai
job_description: none
email_intention_description: rejection",pathai,none,rejection
"Hi Seth,

     Thank you for taking the time to apply for our Software Engineer I. Given the number of opportunities available for career growth and development we appreciate you considering Chewy.
     We received a large number of applicants for this role and after careful consideration and review weâ€™re unfortunately unable to move forward with your candidacy at this time.  

     We have your information on file and will reach out in the future should there be another opportunity we feel is a good match. We wish you all the best in your job search and on your future endeavors.
Kind Regards,

The Chewy Campus Recruiting Team
","
company_name: Chewy
job_description: Software Engineer I
email_intention_description: Rejection",Chewy,Software Engineer I,Rejection
"Thank you for your interest in the Entry Level Software Developer position at ProSearch in Brunswick, Maine, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in ProSearch.
Regards,
ProSearch
","
company_name: prosearch
job_description: entry level software developer
email_intention_description: rejection",prosearch,entry level software developer,rejection
"Thank you for your interest in the Software Engineer position at Shields Health Solutions in Stoughton, Massachusetts, United States.

Unfortunately, Shields Health Solutions did not select your application to move forward in the hiring process.

Regards,
Shields Health Solutions
","
company_name: shields health solutions
job_description: software engineer
email_intention_description: rejection",shields health solutions,software engineer,rejection
"Seth,

Thanks for your interest in the Software Engineer position at Concinnate Solutions in Washington, District of Columbia, United States. Unfortunately, we will not be moving forward with your application but we appreciate your time and interest in Concinnate Solutions.

Regards,
Concinnate Solutions
","
company_name: concinnate solutions
job_description: software engineer
email_intention_description: rejection",concinnate solutions,software engineer,rejection
"Thank you for your interest in the Software Engineer position at Silicon Integration Initiative, Inc. in Austin, Texas, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Silicon Integration Initiative, Inc..

Regards,

Silicon Integration Initiative, Inc.
","
company_name: silicon integration initiative, inc.
job_description: software engineer
email_intention_description: rejection","silicon integration initiative, inc.",software engineer,rejection
"Thank you for applying to the Java Developer position at Sports Information Analysis.
Unfortunately, Sports Information Analysis has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: sports information analysis
job_description: java developer
email_intention_description: rejection",sports information analysis,java developer,rejection
"Thank you for your interest in RCCo. Unfortunately, at this time we are both hiring for the position of Junior Developer. We will keep your CV on file if the position opens on a future date. We wish you the best in your job search, and the best of the season as well. 
","
company_name: rcco
job_description: junior developer
email_intention_description: rejection",rcco,junior developer,rejection
"Thank you for applying to the ENTRY-LEVEL WEB PROGRAMMER position at Oahu Publications, Inc..
Unfortunately, Oahu Publications, Inc. has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: oahu publications, inc.
job_description: entry-level web programmer
email_intention_description: rejection","oahu publications, inc.",entry-level web programmer,rejection
"Seth,

Thank you for your interest in our Software Engineer opening. Unfortunately, we have decided to pursue other candidates who are more aligned to our needs at this time. 

We want to highlight that many of our portfolio companies are currently hiring and your skill set may be a match for their needs. Here is the link to a website where all Techstars Portfolio companies post their open jobs around the globe: jobs.techstars.com. 

Thank you again for your interest in an employment opportunity with Techstars, and we wish you the best in your current job search.

Sincerely,
The Techstars Talent Acquisition Team
","
company_name: techstars
job_description: software engineer
email_intention_description: rejection",techstars,software engineer,rejection
"Thank you for your interest in the Software Engineer position at Advisor360Â° in Weston, Massachusetts, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Advisor360Â°.

Best regards,
Advisor360Â°
","
company_name: Advisor360Â°
job_description: Software Engineer
email_intention_description: Rejection",Advisor360Â°,Software Engineer,Rejection
"Thank you for your interest in the iOS Developer UP TO $140K +EQUITY position at Profizi in Jersey City, New Jersey, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Profizi.

Regards,

Profizi
","
company_name: Profizi
job_description: iOS Developer UP TO $140K +EQUITY
email_intention_description: Rejection",Profizi,iOS Developer UP TO $140K +EQUITY,Rejection
"Thank you for your interest in the Software Engineer position at Decentrix Inc. in Denver Metropolitan Area. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Decentrix Inc..

Regards,

Decentrix Inc.
","
company_name: decentrix inc.
job_description: software engineer
email_intention_description: rejection",decentrix inc.,software engineer,rejection
"Thank you for applying to the Entry Level Developer position at The Nexxus Group.
Unfortunately, The Nexxus Group has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: the nexxus group
job_description: entry level developer
email_intention_description: rejection",the nexxus group,entry level developer,rejection
"Hello Seth,

Thank you very much for your interest in our Software Engineer - React/Redux opening. We've had a chance to discuss your background and qualifications with the hiring manager and unfortunately, we have decided to pursue other candidates who appear to match our requirements more closely at this time. Should requirements change on our side or if a similar position opens up, we will not hesitate to contact you.

Thank you again for your time and interest in an employment opportunity with Alteryx, Inc. We wish you the best of luck in your continued search.


Sincerely,
Alteryx Talent Acquisition 
","
company_name: Alteryx, Inc.
job_description: Software Engineer - React/Redux
email_intention_description: Rejection","Alteryx, Inc.",Software Engineer - React/Redux,Rejection
"Thank you for your interest in the Web Developer position at DiversityInc in Woodbridge Township, New Jersey, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in DiversityInc.
Regards,
DiversityInc
","
company_name: diversityinc
job_description: web developer
email_intention_description: rejection",diversityinc,web developer,rejection
"Thank you for applying to the Backend Developer position at YinzCam, Inc..
Unfortunately, YinzCam, Inc. has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: yinzcam, inc.
job_description: backend developer
email_intention_description: rejection","yinzcam, inc.",backend developer,rejection
"Thank you for applying to the JavaScript / Ruby on Rails Developer - Remote / Work from Home position at Tithe.ly.
Unfortunately, Tithe.ly has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: tithe.ly
job_description: javascript / ruby on rails developer - remote / work from home
email_intention_description: rejection",tithe.ly,javascript / ruby on rails developer - remote / work from home,rejection
"eth,

Thanks for your interest in the Mobile Software Developer position at NECS Inc. ( Software for Food Distributors) in Branford, CT. Unfortunately, we will not be moving forward with your application but we appreciate your time and interest in NECS Inc. ( Software for Food Distributors).

Regards,
NECS Inc. ( Software for Food Distributors)
","
company_name: necs inc. ( software for food distributors)
job_description: mobile software developer
email_intention_description: rejection",necs inc. ( software for food distributors),mobile software developer,rejection
"Thank you for your interest in the Software Engineer, TikTok iOS position at TikTok in Mountain View, California, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in TikTok.
Regards,
TikTok
","
company_name: tiktok
job_description: software engineer, tiktok ios
email_intention_description: rejection",tiktok,"software engineer, tiktok ios",rejection
"Seth,

Thank you for your interest in the Associate Software Engineer role at HPR. Unfortunately, we have decided not to proceed with your candidacy for the current opening.

Thank you again for your time and interest in HPR. We wish you the very best in your endeavors.

Regards,
HPR Recruiting
","
company_name: hpr
job_description: associate software engineer
email_intention_description: rejection",hpr,associate software engineer,rejection
"Hi Seth,

Thanks for your interest in Fritz AI. Unfortunately, we are unable to offer you a position at this time. We'll keep your resume on file and reach out if that changes in the future.

Best,
Jameson
","
company_name: Fritz AI
job_description: none
email_intention_description: rejection",Fritz AI,none,rejection
"Unfortunately, SoftSages Technology Inc has decided not to move forward with your Software Developer - entry level application at this time. 
","
company_name: softsages technology inc
job_description: software developer - entry level
email_intention_description: rejection",softsages technology inc,software developer - entry level,rejection
"Unfortunately, PatientsLikeMe, LLC has decided not to move forward with your Full Stack Software Engineer application at this time. 
","
company_name: patientslikeme, llc
job_description: full stack software engineer
email_intention_description: rejection","patientslikeme, llc",full stack software engineer,rejection
"Thank you for your interest in changing the world with us. We appreciate the opportunity to learn about your skills and accomplishments.
Unfortunately, you were not the most competitive candidate for the Java Developer, Junior role.* Although we canâ€™t offer you this position, weâ€™ll keep your resume on file for a yearâ€”if new opportunities come up that fit your skills and experience, weâ€™ll let you know. And please continue to apply to other positions on boozallen.com/careers that inspire and excite you.
â€¯
â€”Booz Allen Talent Acquisition Team
","
company_name: booz allen
job_description: java developer, junior
email_intention_description: rejection",booz allen,"java developer, junior",rejection
"Hello Seth,

Thank you for giving us the opportunity to consider you for the position with us at Unity Technologies.  

We have carefully reviewed your experience and qualifications for this position, and unfortunately, we have decided not to move forward with your application at this time. 

Please keep checking our Careers Page, and LinkedIn Company Page, for other opportunities that may be of interest to you. 

We do appreciate your interest in Unity Technologies, and we wish you every success for the future. 

Regards, 

Unity Technologies Recruiting Team
","
company_name: Unity Technologies
job_description: none
email_intention_description: Rejection",Unity Technologies,none,Rejection
"Thanks for your interest in the Web Designer/Developer Intern/Consultant position at Cannabis Creative Group. We have reviewed your application. Unfortunately, you are not the right fit for the position at this time because we are looking for someone local.

Best of luck in your job search.

Sincerely,
CCG Human Resources
","
company_name: Cannabis Creative Group
job_description: Web Designer/Developer Intern/Consultant
email_intention_description: Rejection",Cannabis Creative Group,Web Designer/Developer Intern/Consultant,Rejection
"Thank you for your interest in joining the DICK'S Sporting Goods, Inc. team. We value candidates like you who are committed to excellence and share our passion for sports. Unfortunately, at this time we have decided to move forward with other candidates for the Software Engineering Internship position at Corporate.

 

While this wasnâ€™t the best match for you to join our team right now, new opportunities are posted often. We recommend keeping an eye on our career site and applying to future roles that match your experience and skillset. You can also stay-in-the-know about whatâ€™s happening here and receive job-alerts that match your interests by joining our Talent Community.

 

We wish you every success in your career search.

 

Thank you,

DICK'S Sporting Goods, Inc.
","
company_name: dicks sporting goods, inc.
job_description: software engineering internship
email_intention_description: rejection","dicks sporting goods, inc.",software engineering internship,rejection
"Thank you for applying to the WordPress Developer/Web Development Intern position at RevoluSun.
Unfortunately, RevoluSun has moved to the next step in their hiring process, and your application was not selected at this time.
","
company_name: revolusun
job_description: wordpress developer/web development intern
email_intention_description: rejection",revolusun,wordpress developer/web development intern,rejection
"Thank you for your interest in our Developer Internship opening.

We have just recently filled this position, and unfortunately will not be able to move forward with your candidacy at this time.

Should something change on our side (or we get another job opening that matches your background), we will not hesitate to contact you.

Thank you again for your interest in an employment opportunity with Provenir Inc., and we wish you the best in your current job search.

Provenir Human Resources
www.provenir.com
","
company_name: Provenir Inc.
job_description: Developer Internship
email_intention_description: Rejection",Provenir Inc.,Developer Internship,Rejection
"Thank you for your interest in our UI Software Engineer (open to remote) position.

We were very fortunate to have a strong group of applicants to consider for this role and have recently filled this position. Unfortunately, because this role is no longer available, we will not be moving forward with your application.

New positions open up regularly and we encourage you to visit our careers page and apply to another opening that fits your interests and qualifications.

Thank you again for your interest in New Relic.

Best regards,
The New Relic Talent Acquisition Team
","
company_name: new relic
job_description: ui software engineer (open to remote)
email_intention_description: rejection",new relic,ui software engineer (open to remote),rejection
"Thank you for your interest in Nuts.com and taking the time to apply for the Software Engineer role.
 
After carefully considering your qualifications, we have decided to pursue other candidates whose experience more closely aligns with the needs of the role.
 
Although we have not opted to move forward at this time, we encourage you to continue to check our Career page for future opportunities.

Thanks again for your interest in our company and we wish you the best of luck in your future endeavors.
 
Warm Regards,
 
The Nuts.com Talent Acquisition Team
","
company_name: Nuts.com
job_description: Software Engineer
email_intention_description: Rejection",Nuts.com,Software Engineer,Rejection
"Unfortunately, we have decided not to proceed with your candidacy for the current opening at DriveWealth.

We received many qualified applicants and have decided to move ahead with another candidate who we feel is a better match for this particular position. We will continue to grow and our needs are constantly changing. Please feel free to watch our job openings at DriveWealth Careers and follow us on LinkedIn for future opportunities.

Thanks again for your interest in DriveWealth and we wish you luck in your search.

Regards,
DriveWealth
","
company_name: drivewealth
job_description: none
email_intention_description: rejection",drivewealth,none,rejection
"Thank you for your interest in working with DPR Construction! After further review of your application, you will not be moving forward in the recruiting process for Software Developer . To apply to other opportunities, please make sure to visit our website at www.dpr.com/company/careers.

DPR Talent Acquisition 
","
company_name: DPR Construction
job_description: Software Developer
email_intention_description: Rejection",DPR Construction,Software Developer,Rejection
"Hi Seth
Thank you for taking the time to apply to the role of Software Engineer with VMware.

Unfortunately, it has been decided that this role will not be moving ahead.

We will, however, keep your resume on record and get in touch with you about future opportunities that may arise.

We wish you all the best in your job search and hope we will have the chance to consider you for another role in the future.

Sincerely,

VMware Human Resources 
","
company_name: vmware
job_description: software engineer
email_intention_description: rejection",vmware,software engineer,rejection
"Hi Seth,

Thanks so much for your interest in Software Engineer I-211299 with Cox Automotive.  Unfortunately, you haven't been selected to move forward with the next phase of the process.
 
We truly appreciate your interest in joining the Cox family of brands and encourage you to join our talent community to get notified of new roles that open up that may pique your interest.
 
Best wishes to you as you take the next steps of your career journey.
","
company_name: cox automotive
job_description: software engineer i-211299
email_intention_description: rejection",cox automotive,software engineer i-211299,rejection
